entite_privee,label,type,uri_wikidata,wd_label,score_confiance,statut
:2008SummerOlympics,2008 Summer Olympics,Competition,http://www.wikidata.org/entity/Q8567,,0.85,alignée (CSV)
:2012SummerOlympics,2012 Summer Olympics,Competition,http://www.wikidata.org/entity/Q8567,,0.85,alignée (CSV)
:2014FifaWorldCup,2014 FIFA World Cup,Competition,http://www.wikidata.org/entity/Q20149,,0.85,alignée (CSV)
:2016SummerOlympics,2016 Summer Olympics,Competition,http://www.wikidata.org/entity/Q8567,,0.85,alignée (CSV)
:2018FifaWorldCup,2018 FIFA World Cup,Competition,http://www.wikidata.org/entity/Q38717,,0.85,alignée (CSV)
:2020SummerOlympics,2020 Summer Olympics,Competition,http://www.wikidata.org/entity/Q8567,,0.85,alignée (CSV)
:2022FifaWorldCup,2022 FIFA World Cup,Competition,http://www.wikidata.org/entity/Q20771,,0.85,alignée (CSV)
:2024SummerOlympics,2024 Summer Olympics,Competition,http://www.wikidata.org/entity/Q193078,,0.85,alignée (CSV)
:AdilGaliakhmetov,Adil Galiakhmetov,Athlete,http://www.wikidata.org/entity/Q50323561,,0.85,alignée (CSV)
:AlexSirac,Alex Sirac,Athlete,http://www.wikidata.org/entity/Q47472326,,0.85,alignée (CSV)
:AlexaKonstand,Alexa Konstand,Athlete,http://www.wikidata.org/entity/Q122893822,,0.85,alignée (CSV)
:AliThorell,Ali Thorell,Athlete,http://www.wikidata.org/entity/Q122893813,,0.85,alignée (CSV)
:AndreaCassinelli,Andrea Cassinelli,Athlete,http://www.wikidata.org/entity/Q43340889,,0.85,alignée (CSV)
:AngelinaTarasova,Angelina Tarasova,Athlete,http://www.wikidata.org/entity/Q133838997,,0.85,alignée (CSV)
:AnitaNagay,Anita Nagay,Athlete,http://www.wikidata.org/entity/Q133839252,,0.85,alignée (CSV)
:AnneMagellan,Anne Magellan,Athlete,http://www.wikidata.org/entity/Q122893800,,0.85,alignée (CSV)
